
musically  |  21hr 58min   |  47%
android  |  13hr 43min   |  29%
safari  |  2hr 8min   |  4%
youtube  |  1hr 41min   |  3%
chrome  |  1hr 26min   |  3%
android  |  0hr 57min   |  2%
music  |  0hr 55min   |  2%
One UI Home  |  0hr 49min   |  1%
videomeetings  |  0hr 19min   |  0%
ForestIsland  |  0hr 17min   |  0%
maps  |  0hr 16min   |  0%
walljumper  |  0hr 13min   |  0%
unlimited  |  0hr 9min   |  0%
hookandcatch  |  0hr 8min   |  0%
Call  |  0hr 8min   |  0%
firstscotrail  |  0hr 7min   |  0%
ublendreact  |  0hr 5min   |  0%
Clock  |  0hr 4min   |  0%
ubercab  |  0hr 3min   |  0%
discord  |  0hr 3min   |  0%
frontpage  |  0hr 3min   |  0%
sheets  |  0hr 2min   |  0%
newmobilebank  |  0hr 2min   |  0%
docs  |  0hr 2min   |  0%
messaging  |  0hr 2min   |  0%
Gmail  |  0hr 2min   |  0%
uws  |  0hr 2min   |  0%
view  |  0hr 1min   |  0%
Focusath  |  0hr 1min   |  0%
googlequicksearchbox  |  0hr 1min   |  0%
emmx  |  0hr 1min   |  0%
Google Play Store  |  0hr 1min   |  0%
Studio  |  0hr 1min   |  0%
outlook  |  0hr 1min   |  0%
jellymgr  |  0hr 1min   |  0%
p2pmobile  |  0hr 1min   |  0%
docs  |  0hr 1min   |  0%
Gallery  |  0hr 1min   |  0%
shopping  |  0hr 0min   |  0%
android  |  0hr 0min   |  0%
Samsung capture  |  0hr 0min   |  0%
Settings  |  0hr 0min   |  0%
captiveportallogin  |  0hr 0min   |  0%
walletnfcrel  |  0hr 0min   |  0%
paydays  |  0hr 0min   |  0%
myeps  |  0hr 0min   |  0%
Photo Editor  |  0hr 0min   |  0%
Package installer  |  0hr 0min   |  0%
Google Play services  |  0hr 0min   |  0%
Android System  |  0hr 0min   |  0%
Phone  |  0hr 0min   |  0%
appmanager  |  0hr 0min   |  0%
notes  |  0hr 0min   |  0%
word  |  0hr 0min   |  0%
watchmanager  |  0hr 0min   |  0%
Samsung setup wizard  |  0hr 0min   |  0%
My Files  |  0hr 0min   |  0%
Software update  |  0hr 0min   |  0%
Galaxy Buds  |  0hr 0min   |  0%
whatsapp  |  0hr 0min   |  0%
VpnDialogs  |  0hr 0min   |  0%
Weather  |  0hr 0min   |  0%
Settings Suggestions  |  0hr 0min   |  0%
tycoon  |  0hr 0min   |  0%
Slack  |  0hr 0min   |  0%
Camera  |  0hr 0min   |  0%
editor  |  0hr 0min   |  0%
skydrive  |  0hr 0min   |  0%
SIM toolkit  |  0hr 0min   |  0%
documentsui  |  0hr 0min   |  0%
Samsung account  |  0hr 0min   |  0%
Auto Blocker  |  0hr 0min   |  0%
IntentResolver  |  0hr 0min   |  0%
android  |  0hr 0min   |  0%
Nearby device scanning  |  0hr 0min   |  0%
Tags  |  0hr 0min   |  0%
letterboxd  |  0hr 0min   |  0%
Credential Manager  |  0hr 0min   |  0%
Calendar  |  0hr 0min   |  0%
Permission controller  |  0hr 0min   |  0%
Recommended apps  |  0hr 0min   |  0%
Media picker  |  0hr 0min   |  0%
Personal data intelligence  |  0hr 0min   |  0%
photopicker  |  0hr 0min   |  0%
googleassistant  |  0hr 0min   |  0%
