
musically  |  11hr 34min   |  35%
browser  |  5hr 50min   |  17%
android  |  3hr 55min   |  11%
mediaclient  |  2hr 19min   |  7%
chrome  |  1hr 48min   |  5%
android  |  1hr 3min   |  3%
juggle  |  1hr 1min   |  3%
One UI Home  |  0hr 49min   |  2%
pokemontcgp  |  0hr 43min   |  2%
keep  |  0hr 24min   |  1%
linewebtoon  |  0hr 21min   |  1%
disneyplus  |  0hr 20min   |  1%
music  |  0hr 18min   |  0%
googlequicksearchbox  |  0hr 17min   |  0%
mazeapp  |  0hr 13min   |  0%
Call  |  0hr 12min   |  0%
whatsapp  |  0hr 8min   |  0%
picturebuilder  |  0hr 7min   |  0%
Messages  |  0hr 6min   |  0%
gm  |  0hr 5min   |  0%
teams  |  0hr 4min   |  0%
appmanager  |  0hr 3min   |  0%
bank  |  0hr 3min   |  0%
discord  |  0hr 3min   |  0%
maps  |  0hr 3min   |  0%
firstscotrail  |  0hr 3min   |  0%
Gallery  |  0hr 2min   |  0%
android  |  0hr 2min   |  0%
phoenixexternal  |  0hr 2min   |  0%
na  |  0hr 2min   |  0%
Settings  |  0hr 2min   |  0%
app  |  0hr 1min   |  0%
Phone  |  0hr 1min   |  0%
arrive  |  0hr 1min   |  0%
Focusath  |  0hr 1min   |  0%
gp  |  0hr 1min   |  0%
Wallpaper and style  |  0hr 1min   |  0%
docs  |  0hr 1min   |  0%
calendar  |  0hr 1min   |  0%
mcd  |  0hr 0min   |  0%
myklarnamobile  |  0hr 0min   |  0%
glasgowprivatehire  |  0hr 0min   |  0%
authenticator  |  0hr 0min   |  0%
My Files  |  0hr 0min   |  0%
notes  |  0hr 0min   |  0%
Settings Suggestions  |  0hr 0min   |  0%
youtube  |  0hr 0min   |  0%
p2pmobile  |  0hr 0min   |  0%
Google Play Store  |  0hr 0min   |  0%
timetree  |  0hr 0min   |  0%
documentsui  |  0hr 0min   |  0%
Google Play services  |  0hr 0min   |  0%
Permission controller  |  0hr 0min   |  0%
popupcalculator  |  0hr 0min   |  0%
activities  |  0hr 0min   |  0%
guitartuna  |  0hr 0min   |  0%
contacts  |  0hr 0min   |  0%
Samsung Keyboard  |  0hr 0min   |  0%
walletnfcrel  |  0hr 0min   |  0%
pokemontcgl  |  0hr 0min   |  0%
Android System  |  0hr 0min   |  0%
Camera  |  0hr 0min   |  0%
subwaysurf  |  0hr 0min   |  0%
Samsung setup wizard  |  0hr 0min   |  0%
clockpackage  |  0hr 0min   |  0%
docs  |  0hr 0min   |  0%
skydrive  |  0hr 0min   |  0%
Photo Editor  |  0hr 0min   |  0%
Software update  |  0hr 0min   |  0%
captiveportallogin  |  0hr 0min   |  0%
books  |  0hr 0min   |  0%
Package installer  |  0hr 0min   |  0%
word  |  0hr 0min   |  0%
bma  |  0hr 0min   |  0%
barcodescanner  |  0hr 0min   |  0%
Samsung account  |  0hr 0min   |  0%
System UI  |  0hr 0min   |  0%
crunchyroid  |  0hr 0min   |  0%
Secure Folder  |  0hr 0min   |  0%
psxandroid  |  0hr 0min   |  0%
spay  |  0hr 0min   |  0%
photopicker  |  0hr 0min   |  0%
rpgm  |  0hr 0min   |  0%
podcasts  |  0hr 0min   |  0%
IntentResolver  |  0hr 0min   |  0%
strava  |  0hr 0min   |  0%
Recommended apps  |  0hr 0min   |  0%
Credential manager  |  0hr 0min   |  0%
Phone calls  |  0hr 0min   |  0%
