
android  |  24hr 50min   |  61%
maps  |  4hr 18min   |  10%
One UI Home  |  1hr 21min   |  3%
music  |  1hr 7min   |  2%
gearhead  |  1hr 0min   |  2%
android  |  0hr 59min   |  2%
chrome  |  0hr 50min   |  2%
sleepIfUCan  |  0hr 44min   |  1%
Call  |  0hr 43min   |  1%
whatsapp  |  0hr 29min   |  1%
katana  |  0hr 25min   |  1%
Gallery  |  0hr 24min   |  0%
youtube  |  0hr 22min   |  0%
duolingo  |  0hr 21min   |  0%
lumosity  |  0hr 18min   |  0%
music  |  0hr 15min   |  0%
musically  |  0hr 12min   |  0%
firstscotrail  |  0hr 9min   |  0%
sounds  |  0hr 8min   |  0%
evapp  |  0hr 8min   |  0%
docs  |  0hr 8min   |  0%
rbs  |  0hr 6min   |  0%
messaging  |  0hr 5min   |  0%
ubercab  |  0hr 5min   |  0%
friend  |  0hr 3min   |  0%
notes  |  0hr 3min   |  0%
Settings  |  0hr 3min   |  0%
Phone  |  0hr 3min   |  0%
Camera  |  0hr 3min   |  0%
Focusath  |  0hr 2min   |  0%
shopping  |  0hr 2min   |  0%
gm  |  0hr 2min   |  0%
Studio  |  0hr 2min   |  0%
mixr  |  0hr 2min   |  0%
timetable  |  0hr 1min   |  0%
Google Play services  |  0hr 1min   |  0%
arrive  |  0hr 1min   |  0%
orderandpay  |  0hr 1min   |  0%
Google Play Store  |  0hr 1min   |  0%
captiveportallogin  |  0hr 1min   |  0%
Clock  |  0hr 1min   |  0%
android  |  0hr 1min   |  0%
Software update  |  0hr 1min   |  0%
android  |  0hr 1min   |  0%
Modes and Routines  |  0hr 0min   |  0%
skydrive  |  0hr 0min   |  0%
orca  |  0hr 0min   |  0%
popupcalculator  |  0hr 0min   |  0%
Permission controller  |  0hr 0min   |  0%
authenticator  |  0hr 0min   |  0%
outlook  |  0hr 0min   |  0%
p2pmobile  |  0hr 0min   |  0%
Package installer  |  0hr 0min   |  0%
googlequicksearchbox  |  0hr 0min   |  0%
officehubrow  |  0hr 0min   |  0%
qvik  |  0hr 0min   |  0%
photopicker  |  0hr 0min   |  0%
Calendar  |  0hr 0min   |  0%
noreel  |  0hr 0min   |  0%
sbrowser  |  0hr 0min   |  0%
couchto5K  |  0hr 0min   |  0%
MTP application  |  0hr 0min   |  0%
Samsung Pass  |  0hr 0min   |  0%
Samsung capture  |  0hr 0min   |  0%
Android System  |  0hr 0min   |  0%
Photo Editor  |  0hr 0min   |  0%
My Files  |  0hr 0min   |  0%
Credential manager  |  0hr 0min   |  0%
IntentResolver  |  0hr 0min   |  0%
Settings Suggestions  |  0hr 0min   |  0%
walletnfcrel  |  0hr 0min   |  0%
Auto Blocker  |  0hr 0min   |  0%
Wi-Fi tips  |  0hr 0min   |  0%
letterboxd  |  0hr 0min   |  0%
cappuccino  |  0hr 0min   |  0%
Autofill with Samsung Pass  |  0hr 0min   |  0%
Media picker  |  0hr 0min   |  0%
