
youtube  |  1hr 58min   |  21%
discord  |  1hr 25min   |  15%
nexuslauncher  |  1hr 5min   |  11%
chrome  |  0hr 48min   |  8%
android  |  0hr 39min   |  7%
music  |  0hr 30min   |  5%
android  |  0hr 20min   |  3%
googlequicksearchbox  |  0hr 18min   |  3%
messaging  |  0hr 14min   |  2%
depop  |  0hr 13min   |  2%
pinterest  |  0hr 12min   |  2%
maps  |  0hr 10min   |  1%
app  |  0hr 8min   |  1%
capitalone  |  0hr 7min   |  1%
GoogleCamera  |  0hr 7min   |  1%
calculator  |  0hr 6min   |  1%
whatsapp  |  0hr 5min   |  0%
docs  |  0hr 4min   |  0%
mobile  |  0hr 4min   |  0%
strong  |  0hr 4min   |  0%
Focusath  |  0hr 3min   |  0%
riderapp  |  0hr 2min   |  0%
Google Play Store  |  0hr 2min   |  0%
calendar  |  0hr 2min   |  0%
deskclock  |  0hr 2min   |  0%
ubercab  |  0hr 2min   |  0%
shopping  |  0hr 2min   |  0%
dialer  |  0hr 2min   |  0%
photos  |  0hr 1min   |  0%
Settings  |  0hr 1min   |  0%
Gmail  |  0hr 1min   |  0%
Google Play services  |  0hr 1min   |  0%
bitwarden  |  0hr 1min   |  0%
walletnfcrel  |  0hr 0min   |  0%
weather  |  0hr 0min   |  0%
poopmap  |  0hr 0min   |  0%
Permission controller  |  0hr 0min   |  0%
intelligence  |  0hr 0min   |  0%
android  |  0hr 0min   |  0%
shealth  |  0hr 0min   |  0%
files  |  0hr 0min   |  0%
vinted  |  0hr 0min   |  0%
digitalhome  |  0hr 0min   |  0%
IntentResolver  |  0hr 0min   |  0%
Package installer  |  0hr 0min   |  0%
Android System  |  0hr 0min   |  0%
Digital Wellbeing  |  0hr 0min   |  0%
android  |  0hr 0min   |  0%
documentsui  |  0hr 0min   |  0%
tasks  |  0hr 0min   |  0%
twa  |  0hr 0min   |  0%
markup  |  0hr 0min   |  0%
gold  |  0hr 0min   |  0%
android  |  0hr 0min   |  0%
timeuntil  |  0hr 0min   |  0%
odad  |  0hr 0min   |  0%
latin  |  0hr 0min   |  0%
music  |  0hr 0min   |  0%
app  |  0hr 0min   |  0%
community  |  0hr 0min   |  0%
bard  |  0hr 0min   |  0%
as  |  0hr 0min   |  0%
Phone Calls  |  0hr 0min   |  0%
