
musically  |  10hr 3min   |  25%
youtube  |  6hr 36min   |  16%
linewebtoon  |  6hr 30min   |  16%
mediaclient  |  3hr 14min   |  8%
browser  |  2hr 39min   |  6%
chrome  |  2hr 26min   |  6%
android  |  1hr 52min   |  4%
teams  |  1hr 45min   |  4%
One UI Home  |  0hr 53min   |  2%
android  |  0hr 46min   |  1%
googlequicksearchbox  |  0hr 32min   |  1%
music  |  0hr 30min   |  1%
orderapp  |  0hr 29min   |  1%
Call  |  0hr 9min   |  0%
gm  |  0hr 9min   |  0%
juggle  |  0hr 9min   |  0%
Messages  |  0hr 7min   |  0%
ubercab  |  0hr 6min   |  0%
discord  |  0hr 5min   |  0%
whatsapp  |  0hr 4min   |  0%
phoenixexternal  |  0hr 4min   |  0%
Gallery  |  0hr 4min   |  0%
bank  |  0hr 3min   |  0%
Focusath  |  0hr 2min   |  0%
arrive  |  0hr 2min   |  0%
pokemontcgp  |  0hr 2min   |  0%
calendar  |  0hr 1min   |  0%
android  |  0hr 1min   |  0%
bus  |  0hr 1min   |  0%
train  |  0hr 1min   |  0%
firstscotrail  |  0hr 1min   |  0%
mcd  |  0hr 1min   |  0%
walletnfcrel  |  0hr 1min   |  0%
Settings  |  0hr 1min   |  0%
Google Play services  |  0hr 1min   |  0%
app  |  0hr 1min   |  0%
gp  |  0hr 1min   |  0%
clockpackage  |  0hr 1min   |  0%
docs  |  0hr 1min   |  0%
Google Play Store  |  0hr 1min   |  0%
word  |  0hr 0min   |  0%
myklarnamobile  |  0hr 0min   |  0%
Camera  |  0hr 0min   |  0%
popupcalculator  |  0hr 0min   |  0%
shealth  |  0hr 0min   |  0%
timetree  |  0hr 0min   |  0%
maps  |  0hr 0min   |  0%
documentsui  |  0hr 0min   |  0%
Permission controller  |  0hr 0min   |  0%
Phone  |  0hr 0min   |  0%
guitartuna  |  0hr 0min   |  0%
activities  |  0hr 0min   |  0%
glasgowprivatehire  |  0hr 0min   |  0%
contacts  |  0hr 0min   |  0%
notes  |  0hr 0min   |  0%
pokemontcgl  |  0hr 0min   |  0%
keep  |  0hr 0min   |  0%
Software update  |  0hr 0min   |  0%
IntentResolver  |  0hr 0min   |  0%
docs  |  0hr 0min   |  0%
skydrive  |  0hr 0min   |  0%
Photo Editor  |  0hr 0min   |  0%
books  |  0hr 0min   |  0%
barcodescanner  |  0hr 0min   |  0%
My Files  |  0hr 0min   |  0%
authenticator  |  0hr 0min   |  0%
app  |  0hr 0min   |  0%
crunchyroid  |  0hr 0min   |  0%
Secure Folder  |  0hr 0min   |  0%
psxandroid  |  0hr 0min   |  0%
spay  |  0hr 0min   |  0%
Android System  |  0hr 0min   |  0%
Weather  |  0hr 0min   |  0%
photopicker  |  0hr 0min   |  0%
Package installer  |  0hr 0min   |  0%
Credential manager  |  0hr 0min   |  0%
Phone calls  |  0hr 0min   |  0%
System UI  |  0hr 0min   |  0%
