
musically  |  20hr 48min   |  42%
android  |  18hr 22min   |  37%
wordsolitaire  |  4hr 10min   |  8%
chrome  |  1hr 31min   |  3%
android  |  0hr 55min   |  1%
One UI Home  |  0hr 50min   |  1%
music  |  0hr 50min   |  1%
safari  |  0hr 14min   |  0%
Call  |  0hr 12min   |  0%
discord  |  0hr 10min   |  0%
app  |  0hr 7min   |  0%
shopping  |  0hr 7min   |  0%
uk  |  0hr 7min   |  0%
youtube  |  0hr 6min   |  0%
newmobilebank  |  0hr 5min   |  0%
tinder  |  0hr 4min   |  0%
Google Play Store  |  0hr 3min   |  0%
frontpage  |  0hr 3min   |  0%
ublendreact  |  0hr 2min   |  0%
outlook  |  0hr 2min   |  0%
ubercab  |  0hr 2min   |  0%
Google Play services  |  0hr 1min   |  0%
android  |  0hr 1min   |  0%
jellymgr  |  0hr 1min   |  0%
googlequicksearchbox  |  0hr 1min   |  0%
disneyplus  |  0hr 1min   |  0%
Gallery  |  0hr 1min   |  0%
Gmail  |  0hr 1min   |  0%
messaging  |  0hr 1min   |  0%
na  |  0hr 1min   |  0%
Samsung capture  |  0hr 1min   |  0%
Camera  |  0hr 0min   |  0%
Slack  |  0hr 0min   |  0%
Settings  |  0hr 0min   |  0%
thirdpartyclient  |  0hr 0min   |  0%
sheets  |  0hr 0min   |  0%
Software update  |  0hr 0min   |  0%
docs  |  0hr 0min   |  0%
appmanager  |  0hr 0min   |  0%
whatsapp  |  0hr 0min   |  0%
captiveportallogin  |  0hr 0min   |  0%
Focusath  |  0hr 0min   |  0%
Phone  |  0hr 0min   |  0%
maps  |  0hr 0min   |  0%
VpnDialogs  |  0hr 0min   |  0%
Calendar  |  0hr 0min   |  0%
photopicker  |  0hr 0min   |  0%
paydays  |  0hr 0min   |  0%
firstscotrail  |  0hr 0min   |  0%
notes  |  0hr 0min   |  0%
orca  |  0hr 0min   |  0%
watchmanager  |  0hr 0min   |  0%
Permission controller  |  0hr 0min   |  0%
Android System  |  0hr 0min   |  0%
Clock  |  0hr 0min   |  0%
walletnfcrel  |  0hr 0min   |  0%
IntentResolver  |  0hr 0min   |  0%
Package installer  |  0hr 0min   |  0%
tycoon  |  0hr 0min   |  0%
friend  |  0hr 0min   |  0%
SIM toolkit  |  0hr 0min   |  0%
Device care  |  0hr 0min   |  0%
Nearby device scanning  |  0hr 0min   |  0%
Samsung account  |  0hr 0min   |  0%
Galaxy Buds  |  0hr 0min   |  0%
unlimited  |  0hr 0min   |  0%
googleassistant  |  0hr 0min   |  0%
