
discord  |  2hr 59min   |  24%
youtube  |  1hr 30min   |  12%
nexuslauncher  |  1hr 20min   |  10%
chrome  |  1hr 4min   |  8%
droid  |  1hr 4min   |  8%
googlequicksearchbox  |  0hr 51min   |  6%
music  |  0hr 37min   |  5%
android  |  0hr 22min   |  3%
pinterest  |  0hr 18min   |  2%
messaging  |  0hr 12min   |  1%
dialer  |  0hr 12min   |  1%
GoogleCamera  |  0hr 12min   |  1%
android  |  0hr 9min   |  1%
whatsapp  |  0hr 8min   |  1%
app  |  0hr 6min   |  0%
photos  |  0hr 6min   |  0%
weather  |  0hr 5min   |  0%
capitalone  |  0hr 4min   |  0%
strong  |  0hr 4min   |  0%
Settings  |  0hr 4min   |  0%
bitwarden  |  0hr 3min   |  0%
authenticator  |  0hr 2min   |  0%
android  |  0hr 2min   |  0%
shealth  |  0hr 2min   |  0%
riderapp  |  0hr 2min   |  0%
maps  |  0hr 2min   |  0%
poopmap  |  0hr 2min   |  0%
Google Play Store  |  0hr 1min   |  0%
shopping  |  0hr 1min   |  0%
gm  |  0hr 1min   |  0%
community  |  0hr 1min   |  0%
firefox  |  0hr 1min   |  0%
nowplaying  |  0hr 1min   |  0%
keep  |  0hr 1min   |  0%
tips  |  0hr 1min   |  0%
calculator  |  0hr 0min   |  0%
walletnfcrel  |  0hr 0min   |  0%
Focusath  |  0hr 0min   |  0%
wallpaper  |  0hr 0min   |  0%
deskclock  |  0hr 0min   |  0%
contacts  |  0hr 0min   |  0%
red  |  0hr 0min   |  0%
ubercab  |  0hr 0min   |  0%
Google Play services  |  0hr 0min   |  0%
calendar  |  0hr 0min   |  0%
IntentResolver  |  0hr 0min   |  0%
documentsui  |  0hr 0min   |  0%
markup  |  0hr 0min   |  0%
android  |  0hr 0min   |  0%
Permission controller  |  0hr 0min   |  0%
app  |  0hr 0min   |  0%
Android System  |  0hr 0min   |  0%
docs  |  0hr 0min   |  0%
app  |  0hr 0min   |  0%
Package installer  |  0hr 0min   |  0%
translate  |  0hr 0min   |  0%
latin  |  0hr 0min   |  0%
timeuntil  |  0hr 0min   |  0%
support  |  0hr 0min   |  0%
photopicker  |  0hr 0min   |  0%
twa  |  0hr 0min   |  0%
music  |  0hr 0min   |  0%
as  |  0hr 0min   |  0%
intelligence  |  0hr 0min   |  0%
bard  |  0hr 0min   |  0%
Phone Calls  |  0hr 0min   |  0%
